core,feature,op,value,pick,old_weight,n_hits_gate,p_pick_given_trait,baseline_pick,delta_vs_baseline,new_weight,pick_str,core_str
25,seed_absdiff,==,4,25,2,25,0.56,0.3529411764705882,0.2070588235294118,2,0025,025
25,seed_has_worstpair_025,==,True,255,2,31,0.5161290322580645,0.3257918552036199,0.1903371770544445,2,0255,025
25,seed_spread,==,8,25,2,22,0.5454545454545454,0.3529411764705882,0.1925133689839571,0,0025,025
25,seed_sum_lastdigit,==,3,225,2,24,0.5,0.3212669683257919,0.1787330316742081,0,0225,025
25,seed_sum_lastdigit,==,1,25,1,23,0.4782608695652174,0.3529411764705882,0.1253196930946291,0,0025,025
25,seed_sum_lastdigit,==,0,25,1,22,0.4545454545454545,0.3529411764705882,0.1016042780748662,0,0025,025
