core,feature,op,value,pick,old_weight,n_hits_gate,p_pick_given_trait,baseline_pick,delta_vs_baseline,new_weight
25,seed_absdiff,==,4,25,2,25,0.56,0.35294117647058826,0.2070588235294118,2
25,seed_has_worstpair_025,==,True,255,2,31,0.5161290322580645,0.3257918552036199,0.19033717705444458,2
25,seed_spread,==,8,25,2,22,0.5454545454545454,0.35294117647058826,0.19251336898395716,0
25,seed_sum_lastdigit,==,3,225,2,24,0.5,0.3212669683257919,0.17873303167420812,0
25,seed_sum_lastdigit,==,1,25,1,23,0.4782608695652174,0.35294117647058826,0.12531969309462915,0
25,seed_sum_lastdigit,==,0,25,1,22,0.45454545454545453,0.35294117647058826,0.10160427807486627,0
